header.cases,/nfs/home/zhangruisi/Downloads/xs-env/XiangShan/SPEC06_EmuTasks_1208/mcf_231360000000_0.096362/simulator_err.txt
core_with_l2.core.backend.ctrlBlock.decode.slots_fire_0_1,49394522
core_with_l2.core.backend.ctrlBlock.decode.slots_fire_1_2,441069
core_with_l2.core.backend.ctrlBlock.decode.slots_fire_2_3,683719
core_with_l2.core.backend.ctrlBlock.decode.slots_fire_3_4,1348045
core_with_l2.core.backend.ctrlBlock.decode.slots_fire_4_5,834391
core_with_l2.core.backend.ctrlBlock.decode.slots_fire_5_6,1587234
core_with_l2.core.backend.ctrlBlock.decode.slots_fire_6_7,5894483
core_with_l2.core.backend.ctrlBlock.decode.slots_fire_mean,0
core_with_l2.core.backend.ctrlBlock.decode.slots_fire_overflow,0
core_with_l2.core.backend.ctrlBlock.decode.slots_fire_sampled,60183463
core_with_l2.core.backend.ctrlBlock.decode.slots_fire_sum,52493274
core_with_l2.core.backend.ctrlBlock.decode.slots_fire_underflow,0
core_with_l2.core.backend.ctrlBlock.decode.slots_valid_pure_0_1,0
core_with_l2.core.backend.ctrlBlock.decode.slots_valid_pure_1_2,441069
core_with_l2.core.backend.ctrlBlock.decode.slots_valid_pure_2_3,683719
core_with_l2.core.backend.ctrlBlock.decode.slots_valid_pure_3_4,1348045
core_with_l2.core.backend.ctrlBlock.decode.slots_valid_pure_4_5,834391
core_with_l2.core.backend.ctrlBlock.decode.slots_valid_pure_5_6,1587234
core_with_l2.core.backend.ctrlBlock.decode.slots_valid_pure_6_7,5894483
core_with_l2.core.backend.ctrlBlock.decode.slots_valid_pure_mean,4
core_with_l2.core.backend.ctrlBlock.decode.slots_valid_pure_overflow,0
core_with_l2.core.backend.ctrlBlock.decode.slots_valid_pure_sampled,10788941
core_with_l2.core.backend.ctrlBlock.decode.slots_valid_pure_sum,52493274
core_with_l2.core.backend.ctrlBlock.decode.slots_valid_pure_underflow,0
core_with_l2.core.backend.ctrlBlock.decode.slots_valid_rough_0_1,3206413
core_with_l2.core.backend.ctrlBlock.decode.slots_valid_rough_1_2,448318
core_with_l2.core.backend.ctrlBlock.decode.slots_valid_rough_2_3,706227
core_with_l2.core.backend.ctrlBlock.decode.slots_valid_rough_3_4,1376090
core_with_l2.core.backend.ctrlBlock.decode.slots_valid_rough_4_5,934338
core_with_l2.core.backend.ctrlBlock.decode.slots_valid_rough_5_6,1626376
