header.cases,/nfs/home/zhangruisi/Downloads/xs-env/XiangShan/SPEC06_EmuTasks_1208/mcf_17520000000_0.126350/simulator_err.txt
core_with_l2.core.backend.ctrlBlock.decode.slots_fire_0_1,34780673
core_with_l2.core.backend.ctrlBlock.decode.slots_fire_1_2,228433
core_with_l2.core.backend.ctrlBlock.decode.slots_fire_2_3,241446
core_with_l2.core.backend.ctrlBlock.decode.slots_fire_3_4,3291
core_with_l2.core.backend.ctrlBlock.decode.slots_fire_4_5,167139
core_with_l2.core.backend.ctrlBlock.decode.slots_fire_5_6,23926
core_with_l2.core.backend.ctrlBlock.decode.slots_fire_6_7,10162685
core_with_l2.core.backend.ctrlBlock.decode.slots_fire_mean,1
core_with_l2.core.backend.ctrlBlock.decode.slots_fire_overflow,0
core_with_l2.core.backend.ctrlBlock.decode.slots_fire_sampled,45607593
core_with_l2.core.backend.ctrlBlock.decode.slots_fire_sum,62485494
core_with_l2.core.backend.ctrlBlock.decode.slots_fire_underflow,0
core_with_l2.core.backend.ctrlBlock.decode.slots_valid_pure_0_1,0
core_with_l2.core.backend.ctrlBlock.decode.slots_valid_pure_1_2,228433
core_with_l2.core.backend.ctrlBlock.decode.slots_valid_pure_2_3,241446
core_with_l2.core.backend.ctrlBlock.decode.slots_valid_pure_3_4,3291
core_with_l2.core.backend.ctrlBlock.decode.slots_valid_pure_4_5,167139
core_with_l2.core.backend.ctrlBlock.decode.slots_valid_pure_5_6,23926
core_with_l2.core.backend.ctrlBlock.decode.slots_valid_pure_6_7,10162685
core_with_l2.core.backend.ctrlBlock.decode.slots_valid_pure_mean,5
core_with_l2.core.backend.ctrlBlock.decode.slots_valid_pure_overflow,0
core_with_l2.core.backend.ctrlBlock.decode.slots_valid_pure_sampled,10826920
core_with_l2.core.backend.ctrlBlock.decode.slots_valid_pure_sum,62485494
core_with_l2.core.backend.ctrlBlock.decode.slots_valid_pure_underflow,0
core_with_l2.core.backend.ctrlBlock.decode.slots_valid_rough_0_1,1912416
core_with_l2.core.backend.ctrlBlock.decode.slots_valid_rough_1_2,248000
core_with_l2.core.backend.ctrlBlock.decode.slots_valid_rough_2_3,261622
core_with_l2.core.backend.ctrlBlock.decode.slots_valid_rough_3_4,30391
core_with_l2.core.backend.ctrlBlock.decode.slots_valid_rough_4_5,211299
core_with_l2.core.backend.ctrlBlock.decode.slots_valid_rough_5_6,24459
core_with_l2.core.backend.ctrlBlock.decode.slots_valid_rough_6_7,42919406
core_with_l2.core.backend.ctrlBlock.decode.slots_valid_rough_mean,5
core_with_l2.core.backend.ctrlBlock.decode.slots_valid_rough_overflow,0
core_with_l2.core.backend.ctrlBlock.decode.slots_valid_rough_sampled,45607593
core_with_l2.core.backend.ctrlBlock.decode.slots_valid_rough_sum,259346344
core_with_l2.core.backend.ctrlBlock.decode.slots_valid_rough_underflow,0
core_with_l2.core.backend.ctrlBlock.decode.stall_cycle,32868257
core_with_l2.core.backend.ctrlBlock.decode.utilization,259346350
core_with_l2.core.backend.ctrlBlock.decode.waitInstr,196860850
core_with_l2.core.backend.ctrlBlock.dispatch2.in_fire,24869698
core_with_l2.core.backend.ctrlBlock.dispatch2.in_valid,26877699
core_with_l2.core.backend.ctrlBlock.dispatch2.out_fire,24869698
core_with_l2.core.backend.ctrlBlock.dispatch2.out_valid,25072361
core_with_l2.core.backend.ctrlBlock.dispatch2_1.in_fire,26004790
core_with_l2.core.backend.ctrlBlock.dispatch2_1.in_valid,157911698
core_with_l2.core.backend.ctrlBlock.dispatch2_1.out_fire,39134957
core_with_l2.core.backend.ctrlBlock.dispatch2_1.out_valid,51876832
core_with_l2.core.backend.ctrlBlock.dispatch2_1.st_rs_not_ready_4,293996
core_with_l2.core.backend.ctrlBlock.dispatch2_1.st_rs_not_ready_5,2523487
core_with_l2.core.backend.ctrlBlock.dispatch2_1.sta_rs_not_ready_4,30472
core_with_l2.core.backend.ctrlBlock.dispatch2_1.sta_rs_not_ready_5,47827
core_with_l2.core.backend.ctrlBlock.dispatch2_1.std_rs_not_ready_4,263328
core_with_l2.core.backend.ctrlBlock.dispatch2_1.std_rs_not_ready_5,2473583
core_with_l2.core.backend.ctrlBlock.dispatch2_2.in_fire,0
core_with_l2.core.backend.ctrlBlock.dispatch2_2.in_valid,0
core_with_l2.core.backend.ctrlBlock.dispatch2_2.out_fire,0
core_with_l2.core.backend.ctrlBlock.dispatch2_2.out_valid,0
core_with_l2.core.backend.ctrlBlock.dispatch.AtomicStall,0
core_with_l2.core.backend.ctrlBlock.dispatch.BTBMissBubble,69779
core_with_l2.core.backend.ctrlBlock.dispatch.ControlRecoveryStall,2411358
core_with_l2.core.backend.ctrlBlock.dispatch.DivStall,0
core_with_l2.core.backend.ctrlBlock.dispatch.empty,3297599
core_with_l2.core.backend.ctrlBlock.dispatch.FetchFragBubble,275077
core_with_l2.core.backend.ctrlBlock.dispatch.FlushedInsts,0
core_with_l2.core.backend.ctrlBlock.dispatch.FpDqStall,0
core_with_l2.core.backend.ctrlBlock.dispatch.FpFlStall,0
core_with_l2.core.backend.ctrlBlock.dispatch.FPNotReadyStall,0
core_with_l2.core.backend.ctrlBlock.dispatch.FtqFullStall,1941207
core_with_l2.core.backend.ctrlBlock.dispatch.FtqUpdateBubble,0
core_with_l2.core.backend.ctrlBlock.dispatch.ICacheMissBubble,0
core_with_l2.core.backend.ctrlBlock.dispatch.in,57776883
core_with_l2.core.backend.ctrlBlock.dispatch.IntDqStall,8060550
core_with_l2.core.backend.ctrlBlock.dispatch.IntFlStall,7170
core_with_l2.core.backend.ctrlBlock.dispatch.IntNotReadyStall,654066
core_with_l2.core.backend.ctrlBlock.dispatch.ITLBMissBubble,3383719
core_with_l2.core.backend.ctrlBlock.dispatch.ITTAGEMissBubble,0
core_with_l2.core.backend.ctrlBlock.dispatch.LoadL1Stall,8320332
core_with_l2.core.backend.ctrlBlock.dispatch.LoadL2Stall,601068
core_with_l2.core.backend.ctrlBlock.dispatch.LoadL3Stall,7185552
core_with_l2.core.backend.ctrlBlock.dispatch.LoadMemStall,40218840
core_with_l2.core.backend.ctrlBlock.dispatch.LoadMSHRReplayStall,10530
core_with_l2.core.backend.ctrlBlock.dispatch.LoadTLBStall,40050
core_with_l2.core.backend.ctrlBlock.dispatch.LoadVioReplayStall,0
core_with_l2.core.backend.ctrlBlock.dispatch.LsDqStall,6946308
core_with_l2.core.backend.ctrlBlock.dispatch.MemNotReadyStall,1248
core_with_l2.core.backend.ctrlBlock.dispatch.MemVioRecoveryStall,18360
core_with_l2.core.backend.ctrlBlock.dispatch.MemVioRedirectBubble,63216
core_with_l2.core.backend.ctrlBlock.dispatch.NoStall,62600246
core_with_l2.core.backend.ctrlBlock.dispatch.NumStallReasons,0
core_with_l2.core.backend.ctrlBlock.dispatch.OtherCoreStall,73668
core_with_l2.core.backend.ctrlBlock.dispatch.OtherRecoveryStall,0
core_with_l2.core.backend.ctrlBlock.dispatch.OtherRedirectBubble,20040
core_with_l2.core.backend.ctrlBlock.dispatch.OverrideBubble,39769
core_with_l2.core.backend.ctrlBlock.dispatch.RASMissBubble,0
core_with_l2.core.backend.ctrlBlock.dispatch.SCMissBubble,502506
core_with_l2.core.backend.ctrlBlock.dispatch.slots_fire_0_1,35772463
core_with_l2.core.backend.ctrlBlock.dispatch.slots_fire_1_2,224484
core_with_l2.core.backend.ctrlBlock.dispatch.slots_fire_2_3,237853
core_with_l2.core.backend.ctrlBlock.dispatch.slots_fire_3_4,2373
core_with_l2.core.backend.ctrlBlock.dispatch.slots_fire_4_5,164773
core_with_l2.core.backend.ctrlBlock.dispatch.slots_fire_5_6,21097
core_with_l2.core.backend.ctrlBlock.dispatch.slots_fire_6_7,9184550
core_with_l2.core.backend.ctrlBlock.dispatch.slots_fire_mean,1
core_with_l2.core.backend.ctrlBlock.dispatch.slots_fire_overflow,0
core_with_l2.core.backend.ctrlBlock.dispatch.slots_fire_sampled,45607593
core_with_l2.core.backend.ctrlBlock.dispatch.slots_fire_sum,56579186
core_with_l2.core.backend.ctrlBlock.dispatch.slots_fire_underflow,0
core_with_l2.core.backend.ctrlBlock.dispatch.slots_valid_pure_0_1,0
core_with_l2.core.backend.ctrlBlock.dispatch.slots_valid_pure_1_2,224484
core_with_l2.core.backend.ctrlBlock.dispatch.slots_valid_pure_2_3,237853
core_with_l2.core.backend.ctrlBlock.dispatch.slots_valid_pure_3_4,2373
core_with_l2.core.backend.ctrlBlock.dispatch.slots_valid_pure_4_5,164773
core_with_l2.core.backend.ctrlBlock.dispatch.slots_valid_pure_5_6,21097
core_with_l2.core.backend.ctrlBlock.dispatch.slots_valid_pure_6_7,9184550
core_with_l2.core.backend.ctrlBlock.dispatch.slots_valid_pure_mean,5
core_with_l2.core.backend.ctrlBlock.dispatch.slots_valid_pure_overflow,0
core_with_l2.core.backend.ctrlBlock.dispatch.slots_valid_pure_sampled,9835130
core_with_l2.core.backend.ctrlBlock.dispatch.slots_valid_pure_sum,56579186
core_with_l2.core.backend.ctrlBlock.dispatch.slots_valid_pure_underflow,0
core_with_l2.core.backend.ctrlBlock.dispatch.slots_valid_rough_0_1,28229865
core_with_l2.core.backend.ctrlBlock.dispatch.slots_valid_rough_1_2,224484
core_with_l2.core.backend.ctrlBlock.dispatch.slots_valid_rough_2_3,246565
core_with_l2.core.backend.ctrlBlock.dispatch.slots_valid_rough_3_4,2373
core_with_l2.core.backend.ctrlBlock.dispatch.slots_valid_rough_4_5,169617
core_with_l2.core.backend.ctrlBlock.dispatch.slots_valid_rough_5_6,23476
core_with_l2.core.backend.ctrlBlock.dispatch.slots_valid_rough_6_7,16711213
core_with_l2.core.backend.ctrlBlock.dispatch.slots_valid_rough_mean,2
core_with_l2.core.backend.ctrlBlock.dispatch.slots_valid_rough_overflow,0
core_with_l2.core.backend.ctrlBlock.dispatch.slots_valid_rough_sampled,45607593
core_with_l2.core.backend.ctrlBlock.dispatch.slots_valid_rough_sum,101787859
core_with_l2.core.backend.ctrlBlock.dispatch.slots_valid_rough_underflow,0
core_with_l2.core.backend.ctrlBlock.dispatch.stall_cycle_fp_dq,0
core_with_l2.core.backend.ctrlBlock.dispatch.stall_cycle_int_dq,1387433
core_with_l2.core.backend.ctrlBlock.dispatch.stall_cycle_ls_dq,17774481
core_with_l2.core.backend.ctrlBlock.dispatch.stall_cycle_rob,7542598
core_with_l2.core.backend.ctrlBlock.dispatch.storeset_load_strict_wait,0
core_with_l2.core.backend.ctrlBlock.dispatch.storeset_load_wait,0
core_with_l2.core.backend.ctrlBlock.dispatch.storeset_store_wait,0
core_with_l2.core.backend.ctrlBlock.dispatch.StoreStall,125069988
core_with_l2.core.backend.ctrlBlock.dispatch.TAGEMissBubble,5130917
core_with_l2.core.backend.ctrlBlock.dispatch.utilization,250768830
core_with_l2.core.backend.ctrlBlock.dispatch.waitInstr,194189638
core_with_l2.core.backend.ctrlBlock.dispatch.waittable_load_wait,0
core_with_l2.core.backend.ctrlBlock.fpDq.empty,45607594
core_with_l2.core.backend.ctrlBlock.fpDq.exHalf,0
core_with_l2.core.backend.ctrlBlock.fpDq.fake_block,0
core_with_l2.core.backend.ctrlBlock.fpDq.full,0
core_with_l2.core.backend.ctrlBlock.fpDq.in,0
core_with_l2.core.backend.ctrlBlock.fpDq.out,0
core_with_l2.core.backend.ctrlBlock.fpDq.out_try,0
core_with_l2.core.backend.ctrlBlock.fpDq.util_0_1,45607593
core_with_l2.core.backend.ctrlBlock.fpDq.util_1_2,0
core_with_l2.core.backend.ctrlBlock.fpDq.util_2_3,0
core_with_l2.core.backend.ctrlBlock.fpDq.util_3_4,0
core_with_l2.core.backend.ctrlBlock.fpDq.util_4_5,0
core_with_l2.core.backend.ctrlBlock.fpDq.util_5_6,0
core_with_l2.core.backend.ctrlBlock.fpDq.util_6_7,0
core_with_l2.core.backend.ctrlBlock.fpDq.util_7_8,0
core_with_l2.core.backend.ctrlBlock.fpDq.util_8_9,0
core_with_l2.core.backend.ctrlBlock.fpDq.util_9_10,0
core_with_l2.core.backend.ctrlBlock.fpDq.util_10_11,0
core_with_l2.core.backend.ctrlBlock.fpDq.util_11_12,0
core_with_l2.core.backend.ctrlBlock.fpDq.util_12_13,0
core_with_l2.core.backend.ctrlBlock.fpDq.util_13_14,0
core_with_l2.core.backend.ctrlBlock.fpDq.util_14_15,0
core_with_l2.core.backend.ctrlBlock.fpDq.util_15_16,0
core_with_l2.core.backend.ctrlBlock.fpDq.util_mean,0
core_with_l2.core.backend.ctrlBlock.fpDq.util_overflow,0
core_with_l2.core.backend.ctrlBlock.fpDq.util_sampled,45607593
core_with_l2.core.backend.ctrlBlock.fpDq.util_sum,0
core_with_l2.core.backend.ctrlBlock.fpDq.util_underflow,0
core_with_l2.core.backend.ctrlBlock.fpDq.utilization,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_addw_andi1_0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_addw_andi1_1,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_addw_andi1_2,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_addw_andi1_3,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_addw_andi1_4,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_addw_andi255_0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_addw_andi255_1,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_addw_andi255_2,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_addw_andi255_3,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_addw_andi255_4,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_addw_sexth_0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_addw_sexth_1,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_addw_sexth_2,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_addw_sexth_3,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_addw_sexth_4,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_addw_zexth_0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_addw_zexth_1,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_addw_zexth_2,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_addw_zexth_3,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_addw_zexth_4,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_andi1_add_0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_andi1_add_1,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_andi1_add_2,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_andi1_add_3,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_andi1_add_4,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_andi1_addw_0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_andi1_addw_1,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_andi1_addw_2,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_andi1_addw_3,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_andi1_addw_4,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_andi127_mulw_0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_andi127_mulw_1,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_andi127_mulw_2,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_andi127_mulw_3,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_andi127_mulw_4,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_andi_f00_or_0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_andi_f00_or_1,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_andi_f00_or_2,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_andi_f00_or_3,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_andi_f00_or_4,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_logic_andi1_0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_logic_andi1_1,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_logic_andi1_2,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_logic_andi1_3,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_logic_andi1_4,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_logic_zexth_0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_logic_zexth_1,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_logic_zexth_2,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_logic_zexth_3,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_logic_zexth_4,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slli1_add_0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slli1_add_1,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slli1_add_2,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slli1_add_3,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slli1_add_4,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slli2_add_0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slli2_add_1,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slli2_add_2,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slli2_add_3,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slli2_add_4,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slli3_add_0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slli3_add_1,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slli3_add_2,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slli3_add_3,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slli3_add_4,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slli4_add_0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slli4_add_1,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slli4_add_2,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slli4_add_3,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slli4_add_4,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slli32_srli29_0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slli32_srli29_1,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slli32_srli29_2,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slli32_srli29_3,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slli32_srli29_4,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slli32_srli30_0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slli32_srli30_1,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slli32_srli30_2,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slli32_srli30_3,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slli32_srli30_4,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slli32_srli31_0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slli32_srli31_1,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slli32_srli31_2,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slli32_srli31_3,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slli32_srli31_4,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slli32_srli32_0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slli32_srli32_1,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slli32_srli32_2,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slli32_srli32_3,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slli32_srli32_4,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slli48_srli48_0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slli48_srli48_1,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slli48_srli48_2,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slli48_srli48_3,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slli48_srli48_4,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slliw16_sraiw16_0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slliw16_sraiw16_1,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slliw16_sraiw16_2,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slliw16_sraiw16_3,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slliw16_sraiw16_4,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slliw16_srliw16_0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slliw16_srliw16_1,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slliw16_srliw16_2,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slliw16_srliw16_3,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slliw16_srliw16_4,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_srli8_andi255_0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_srli8_andi255_1,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_srli8_andi255_2,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_srli8_andi255_3,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_srli8_andi255_4,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_srli29_add_0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_srli29_add_1,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_srli29_add_2,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_srli29_add_3,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_srli29_add_4,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_srli30_add_0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_srli30_add_1,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_srli30_add_2,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_srli30_add_3,0
